student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
1,24,Female,USA,Laptop,44.7,15.92,10,40.05275209226463,294.0997594624343,3,4,6,46.69,0.93,8.046498797312172,22.447640593713675,0
2,37,Female,Germany,Tablet,61.1,6.37,8,32.442671369163605,400.3976581082356,7,14,5,62.65,0.59,6.312988290541178,39.749904645338624,1
3,46,Female,Australia,Tablet,43.1,6.64,7,43.61450902015146,190.2397384857893,1,14,5,58.42,0.43,4.143198692428946,31.061687721738405,1
4,32,Male,India,Tablet,26.99,10.91,5,30.69726315174877,370.4516286997306,3,1,2,61.21,0.65,6.1252581434986535,41.30063354912637,0
5,28,Male,India,Laptop,52.28,7.41,6,47.40299897440246,151.3412959867465,4,4,6,74.92,0.55,4.979706479933732,39.1489977840022,1
6,25,Male,USA,Laptop,56.32,12.24,12,64.25999277606114,281.2884868303461,1,5,4,39.03,0.43,6.0784424341517305,20.239898820673847,1
7,46,Female,USA,Mobile,52.62,4.78,12,61.482269486784865,402.53731012777394,8,4,4,94.95,0.85,5.846686550638869,45.90242519704234,0
8,38,Female,Germany,Mobile,39.38,11.51,13,30.064148472930196,292.9591491491518,3,2,5,73.43,0.5,6.517795745745758,32.161525019612725,1
9,24,Male,Canada,Mobile,83.62,3.98,5,36.85010662701959,176.4101083406799,9,7,7,58.96,0.45,5.2760505417034,33.883459065787754,1
10,43,Male,India,Mobile,57.9,13.04,12,51.73278075763136,442.97648219305864,9,14,3,70.69,0.57,8.526882410965293,36.15776750991355,1
11,36,Male,India,Mobile,71.6,4.26,9,-2.039558179952806,283.31447536667577,0,11,6,76.27,0.55,3.894572376833379,30.713958446649798,1
12,40,Female,Canada,Tablet,49.6,3.88,5,52.66277607313765,292.4829422480002,3,7,3,36.28,0.42,3.826414711240001,21.856994509133706,1
13,28,Male,Germany,Mobile,53.13,13.85,11,44.553513580809785,247.6942453528846,9,12,7,47.85,0.43,8.593471226764422,30.128350553760203,1
14,28,Female,UK,Laptop,68.13,14.31,8,77.31575144231468,-51.489618709877846,7,12,3,69.05,0.41,6.035551906450612,34.63643851149446,1
15,41,Female,UK,Tablet,50.06,10.44,5,47.286677340878555,425.519992413283,0,4,4,82.96,0.79,6.059599962066414,37.97055555360969,0
16,38,Male,India,Mobile,36.36,7.65,8,24.015033633040698,272.3641597976721,0,9,3,69.75,0.54,4.256820798988361,34.36209791694744,1
17,21,Female,UK,Mobile,56.73,4.8,6,56.44379496340946,107.4387776054902,7,10,4,67.15,0.99,4.177193888027451,39.434186600933906,0
18,25,Female,Germany,Tablet,49.01,10.68,7,32.08306805480216,234.88006794959693,4,12,3,64.72,0.79,5.778400339747984,25.28057099090404,0
19,41,Female,UK,Tablet,56.73,11.69,6,41.55434064658172,185.6990157591879,6,2,1,52.49,0.93,5.835495078795939,28.070250614706136,0
20,20,Female,USA,Tablet,42.7,4.98,3,37.47615485777588,297.87122812538746,4,14,2,69.89,0.45,4.1833561406269375,32.32881717930146,1
21,39,Male,Germany,Tablet,44.25,11.77,7,29.49956794045899,350.18991445980566,9,7,1,71.07,0.49,7.281949572299028,40.444744844208735,1
22,38,Female,Canada,Mobile,66.3,17.0,14,68.03305111420212,385.0145836573506,8,9,4,74.82,0.8,9.425072918286753,35.75327141187428,0
23,19,Male,India,Tablet,63.45,9.39,8,43.320933429988,449.96266582537055,3,9,6,48.98,0.91,6.866813329126853,19.81298850683492,0
24,41,Female,Germany,Tablet,23.26,11.48,10,-17.989843933380214,253.8925968730832,2,8,1,58.58,0.5,5.313462984365416,25.1030926247321,1
25,29,Male,UK,Mobile,51.02,8.94,11,61.10192264252284,260.6964648629733,0,1,5,57.72,0.6,4.985482324314867,37.94358047808383,0
26,47,Female,Germany,Tablet,79.81,5.09,9,17.84467489180542,357.6423647111842,1,7,5,61.83,0.54,4.515211823555921,33.839657515349046,1
27,23,Male,Australia,Laptop,56.75,10.25,13,27.308530710929514,148.06701663674,3,5,4,77.55,0.43,5.2153350831836995,41.875768129015,1
28,19,Female,Canada,Mobile,64.22,11.44,8,36.28910830898488,-9.983287912340302,5,3,7,57.9,0.94,5.7820835604382985,27.98742765738054,0
29,49,Male,Australia,Mobile,51.7,8.85,3,73.7209338104509,309.91851397281016,0,5,2,63.92,0.63,4.604592569864051,20.344917803838804,0
30,45,Male,Germany,Tablet,25.88,7.22,2,31.68014511894296,224.34811133347006,7,0,2,55.75,0.96,5.087740556667351,18.39372065277705,0
31,38,Male,Canada,Mobile,42.63,11.27,6,31.734703790985293,329.20115784393374,0,12,5,79.58,0.57,6.027005789219668,42.96906955339598,1
32,18,Female,Canada,Mobile,18.58,14.05,12,55.68985935018492,519.2101624774295,9,3,7,35.84,0.93,10.011050812387149,20.85937091946491,0
33,29,Female,Germany,Mobile,59.61,17.43,7,22.887767311393052,192.11868533728773,6,13,1,85.11,0.58,7.589593426686439,35.921493515404,1
34,43,Male,India,Laptop,49.7,10.88,10,28.900222207710996,261.2419843715418,7,3,2,89.14,0.64,6.370209921857709,52.18178000837305,0
35,39,Female,India,Mobile,62.87,13.43,3,28.85808599707802,67.93521778036057,4,5,7,87.97,0.8,6.568676088901803,54.182150264770435,0
36,46,Male,UK,Laptop,61.77,6.22,7,18.24089739774491,226.86266393893607,5,1,1,61.68,0.65,4.20031331969468,32.76617951461379,0
37,29,Male,Australia,Laptop,63.21,16.64,3,77.37939830080416,228.91320746878137,1,6,4,93.33,0.75,7.136566037343907,50.057144025248924,0
38,42,Female,Germany,Mobile,62.94,10.04,9,39.219402945677984,585.5270939564807,4,7,6,63.36,0.71,7.939635469782402,36.93557730745102,0
39,34,Female,Australia,Mobile,21.07,17.73,4,60.455903773278784,372.5410605476066,4,1,7,75.29,0.82,9.381705302738032,38.22131511861261,0
40,44,Female,Australia,Tablet,48.21,10.73,8,49.07088465601326,444.45756015179177,5,1,6,77.19,0.83,7.641287800758959,41.92386110029395,0
41,44,Female,Germany,Laptop,34.53,13.4,5,43.64698620602901,331.738945998305,8,5,6,78.52,0.71,8.478694729991524,37.04074191743527,0
42,48,Female,USA,Mobile,49.71,8.64,1,42.246895029448076,479.2182062010224,7,3,6,91.45,0.46,7.588091031005113,49.91634321735428,1
43,27,Female,India,Mobile,66.74,15.09,7,57.404780623979384,287.9448509181213,7,13,1,74.91,0.76,7.566724254590607,41.14320043110143,0
44,49,Male,Canada,Laptop,60.0,8.43,9,55.75824454228708,272.5917342463705,5,1,5,87.3,0.61,5.891958671231852,49.09987336386408,0
45,45,Male,USA,Laptop,49.61,9.37,4,47.734198601815415,443.6851051610396,4,2,6,72.94,1.0,7.029425525805197,43.775816520663646,0
46,45,Male,Germany,Mobile,62.47,2.25,14,35.93638804663682,274.01870385982096,2,7,5,76.96,0.77,3.4450935192991046,34.16098787017609,0
47,33,Female,USA,Laptop,55.5,15.92,7,-0.6336126382895841,272.08481703895643,9,12,6,84.51,0.8,9.136424085194783,42.76956892615162,0
48,32,Male,India,Mobile,54.78,8.78,8,55.33797288683409,257.220944331514,8,4,2,72.8,0.72,5.9201047216575695,36.22475220714395,0
49,47,Female,Germany,Mobile,44.19,13.76,9,59.88488083465799,326.8108347400493,8,6,4,68.85,0.47,8.162054173700247,35.45607982775633,1
50,47,Female,Australia,Laptop,29.19,15.97,3,51.59550223101921,267.69342642874716,9,11,3,89.05,0.94,8.529467132143736,50.06374662557053,0
51,32,Female,Australia,Mobile,62.64,6.15,14,49.56613298981402,337.0330701175993,2,13,6,73.41,0.62,5.130165350587996,41.01634146047945,0
52,47,Male,India,Mobile,84.6,10.15,10,30.87140162227889,187.67287851689542,3,10,1,80.28,0.49,4.783364392584477,41.48517191910216,1
53,36,Male,USA,Laptop,45.9,6.07,6,25.41913616440597,205.2367230126033,5,6,7,50.39,0.86,5.247183615063016,31.928897295887698,0
54,29,Female,UK,Tablet,54.93,11.05,8,35.71378204627568,453.5943717468316,1,9,6,56.94,0.75,6.9829718587341585,27.66324474652215,0
55,40,Male,Canada,Mobile,46.26,11.25,4,44.51193370738447,245.72057879414353,9,10,5,57.25,0.76,7.403602893970717,28.256273348950184,0
